,date,temp_C,precip_mm,wind_avg_ms,sun_hours,humidity_pct,visibility_min_m,visibility_max_m
24312,2017-07-25,16.5,4.6,5.3,4.3,85.0,10000.0,32000.0
24313,2017-07-26,18.6,1.4,3.9,8.1,80.0,3300.0,37000.0
24314,2017-07-27,18.2,0.1,6.3,4.5,73.0,15000.0,32000.0
24315,2017-07-28,17.7,2.4,7.9,4.3,78.0,1900.0,32000.0
24316,2017-07-29,18.5,29.3,5.8,3.5,85.0,2800.0,42000.0
24317,2017-07-30,18.3,2.3,6.4,8.1,80.0,6000.0,37000.0
24318,2017-07-31,18.2,-0.1,4.3,9.4,74.0,19000.0,37000.0
24319,2017-08-01,18.2,0.0,3.0,5.9,71.0,7000.0,47000.0
24320,2017-08-02,18.3,1.8,4.9,2.7,74.0,11000.0,42000.0
24321,2017-08-03,19.1,0.2,9.6,8.0,73.0,10000.0,27000.0
24322,2017-08-04,18.6,0.1,7.9,7.2,73.0,14000.0,37000.0
24323,2017-08-05,16.5,1.1,4.0,4.7,78.0,12000.0,47000.0
24324,2017-08-06,16.3,0.0,4.2,12.7,70.0,15000.0,47000.0
24325,2017-08-07,16.5,0.0,3.3,11.5,76.0,15000.0,37000.0
24326,2017-08-08,16.6,4.7,3.8,1.2,84.0,8000.0,24000.0
24327,2017-08-09,16.9,2.0,4.8,9.4,77.0,4100.0,47000.0
24328,2017-08-10,16.4,0.2,3.0,1.4,81.0,6000.0,32000.0
24329,2017-08-11,16.7,0.4,3.2,4.5,77.0,13000.0,47000.0
24330,2017-08-12,17.0,8.1,4.3,2.2,88.0,2800.0,25000.0
24331,2017-08-13,16.3,0.4,2.0,7.6,78.0,11000.0,47000.0
24332,2017-08-14,18.4,0.0,3.0,6.8,74.0,15000.0,47000.0
24333,2017-08-15,18.1,3.0,2.5,1.4,85.0,3800.0,25000.0
24334,2017-08-16,17.4,-0.1,2.7,5.4,82.0,100.0,42000.0
24335,2017-08-17,17.5,3.9,5.4,1.2,87.0,7000.0,20000.0
24336,2017-08-18,17.1,3.1,5.9,3.9,82.0,13000.0,32000.0
24337,2017-08-19,16.0,18.2,6.6,8.0,75.0,8000.0,42000.0
24338,2017-08-20,16.3,-0.1,5.6,7.6,72.0,20000.0,42000.0
24339,2017-08-21,16.4,0.6,2.0,4.4,81.0,13000.0,32000.0
24340,2017-08-22,18.2,0.0,3.0,8.9,72.0,15000.0,37000.0
24341,2017-08-23,19.7,-0.1,4.6,6.8,73.0,8000.0,37000.0
24342,2017-08-24,18.2,0.0,4.5,7.5,79.0,4600.0,37000.0
24343,2017-08-25,17.7,0.0,2.0,5.2,79.0,12000.0,37000.0
24344,2017-08-26,18.6,-0.1,2.1,5.2,78.0,6000.0,25000.0
