,object_id,weekday_2023,weekday_2022,weekday_2021,weekday_2020,weekday_2019,weekday_2018,weekday_2017,location_code,wkt_lng_lat,wkt_lat_lng,longitude,latitude,geometry
146,147,1421,1662,0,0,1590,1683,3243,VRA01_0172,POINT(4.827014 52.426895),POINT(52.426895 4.827014),4.827014,52.426895,POINT (116897.7233363565 493379.9963955047)
147,148,3297,3651,2313,0,5129,4608,4419,VRA01_0173,POINT(4.849024 52.340624),POINT(52.340624 4.849024),4.849024,52.340624,POINT (118323.4608657752 483769.8787600373)
148,149,528,777,0,0,616,0,0,VRA01_0174,POINT(4.952465 52.423505),POINT(52.423505 4.952465),4.952465,52.423505,POINT (125428.1334109957 492944.2166996936)
149,150,1832,1916,0,0,1609,0,0,VRA01_0175,POINT(4.76671 52.35048),POINT(52.35048 4.76671),4.76671,52.35048,POINT (112723.3066597243 484911.3067943829)
150,151,342,348,275,0,288,0,0,VRA01_0176,POINT(5.01752 52.27027),POINT(52.27027 5.01752),5.01752,52.27027,POINT (129766.3324561045 475870.219297661)
151,152,0,0,0,0,1016,0,0,VRA01_0177,POINT(4.849837 52.400466),POINT(52.400466 4.849837),4.849837,52.400466,POINT (118428.2359014158 490427.6493727673)
152,153,646,635,0,0,502,0,0,VRA01_0178,POINT(4.855467 52.394792),POINT(52.394792 4.855467),4.855467,52.394792,POINT (118806.7605971262 489793.5143609158)
153,154,2037,1405,0,0,1660,0,0,VRA01_0179,POINT(4.860794 52.395719),POINT(52.395719 4.860794),4.860794,52.395719,POINT (119170.0930272747 489894.007986185)
154,155,669,849,0,0,471,0,0,VRA01_0180,POINT(4.84378 52.4018),POINT(52.4018 4.84378),4.84378,52.4018,POINT (118017.1315593546 490579.1491073229)
155,156,710,732,306,0,0,0,0,VRA01_0181,POINT(4.80215 52.32557),POINT(52.32557 4.80215),4.80215,52.32557,POINT (115115.5640368945 482119.6993831943)
156,157,1086,1351,568,0,0,0,0,VRA01_0182,POINT(4.81326 52.31315),POINT(52.31315 4.81326),4.81326,52.31315,POINT (115862.0057216601 480731.7799861067)
157,158,1118,1411,647,0,0,0,0,VRA01_0183,POINT(4.81458 52.31272),POINT(52.31272 4.81458),4.81458,52.31272,POINT (115951.6390417439 480683.2259185641)
158,159,1007,1234,0,0,0,0,0,VRA01_0184,POINT(4.80557 52.30478),POINT(52.30478 4.80557),4.80557,52.30478,POINT (115330.1512515524 479804.7049870168)
159,160,753,1025,0,0,0,0,0,VRA01_0185,POINT(4.77644 52.28215),POINT(52.28215 4.77644),4.77644,52.28215,POINT (113322.1873033449 477303.2206088761)
160,161,0,127,0,0,0,0,0,VRA01_0186,POINT(4.78434 52.28895),POINT(52.28895 4.78434),4.78434,52.28895,POINT (113867.5556040002 478055.2791792132)
161,162,775,392,0,0,0,0,0,VRA01_0187,POINT(4.854304 52.398619),POINT(52.398619 4.854304),4.854304,52.398619,POINT (118730.732477279 490219.9006094519)
162,163,264,187,0,0,0,0,0,VRA01_0188,POINT(4.80074 52.32824),POINT(52.32824 4.80074),4.80074,52.32824,POINT (115021.8460564659 482417.5437920764)
163,164,1542,0,0,0,0,0,0,VRA01_0189,POINT(4.65597 52.40381),POINT(52.40381 4.65597),4.65597,52.40381,POINT (105238.2027754514 490915.217462596)
164,165,74,0,0,0,0,0,0,VRA01_0190,POINT(5.0393 52.48822),POINT(52.48822 5.0393),5.0393,52.48822,POINT (131369.3724395882 500112.8882209295)
165,166,225,0,0,0,0,0,0,VRA01_0191,POINT(5.03985 52.50329),POINT(52.50329 5.03985),5.03985,52.50329,POINT (131414.7720522315 501789.5008112739)
166,167,378,0,0,0,0,0,0,VRA01_0193,POINT(5.03841 52.50241),POINT(52.50241 5.03841),5.03841,52.50241,POINT (131316.5256609505 501692.0557584759)
167,168,508,0,0,0,0,0,0,VRA01_0194,POINT(5.04009 52.50372),POINT(52.50372 5.04009),5.04009,52.50372,POINT (131431.2971817654 501837.2675169907)
168,169,187,0,0,0,0,0,0,VRA01_0195,POINT(4.80736 52.31501),POINT(52.31501 4.80736),4.80736,52.31501,POINT (115461.3382233451 480941.9271073148)
169,170,1358,0,0,0,0,0,0,VRA01_0196,POINT(5.05621 52.4986),POINT(52.4986 5.05621),5.05621,52.4986,POINT (132523.2177770836 501262.4555815369)
