cluster_id,accident_count,center_lat,center_lon,lat_std,lon_std,year_range,avg_year,top_streets
46,57,52.353040149017986,4.964069519024342,0.0007090344487819371,0.001388137353412444,2020-2020,2020.0,"Ringweg-Oost (30), RYKSWG (17), KP WATERGRAAFSMEER (9)"
106,56,52.38210205310346,4.847867591866075,0.0025963641101971347,0.004696409339527485,2018-2018,2018.0,"Bos en Lommerweg (9), Haarlemmerweg (6), Wiltzanghlaan (5)"
102,56,52.3923805708264,4.926408020090265,0.005320783682990129,0.01171938705828673,2019-2019,2019.0,"Buikslotermeerplein (16), Meeuwenlaan (3), Gedempt Hamerkanaal (3)"
39,56,52.33101013515506,4.911461031379404,0.0007890266860426857,0.0033495974202207997,2015-2015,2015.0,"Nieuwe Utrechtseweg (27), RYKSWG (22), Ringweg-Zuid (7)"
44,55,52.42255739281717,4.87475637356443,0.00016053493839256116,0.000690707300021223,2019-2019,2019.0,Ringweg-Noord (55)
96,55,52.390161551587575,4.917533402124246,0.003231940718932461,0.006077384657237408,2021-2021,2021.0,"Nieuwe Leeuwarderweg (14), Johan van Hasseltweg (5), Meeuwenlaan (4)"
41,54,52.35323939285753,4.964220521938152,0.0006245647043619988,0.0004888212864762854,2022-2022,2022.0,"Ringweg-Oost (45), RYKSWG (5), KP WATERGRAAFSMEER (4)"
107,54,52.39195513461496,4.844834247329406,0.0026285998224749698,0.0019333817469144236,2018-2018,2018.0,"Ringweg-West (31), AMSTERDAM-SLOTERDIJK 2 (11), Basisweg (3)"
144,54,52.35623683180694,4.886695051897346,0.002393418847845899,0.005415789750128303,2014-2014,2014.0,"Stadhouderskade (12), Van Baerlestraat (10), Ferdinand Bolstraat (7)"
33,54,52.420138180538224,4.907950375157387,0.002362563401748214,0.004851078827201531,2022-2022,2022.0,"Ringweg-Noord (44), IJdoornlaan (6), Kadoelenweg (1)"
121,53,52.34721187755107,4.841442299626652,0.0028504805350046663,0.0010463239967485956,2018-2018,2018.0,"Ringweg-West (25), Einsteinweg (7), AMSTERDAM-SLOTERVAART 7 (6)"
